Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 72;7,2;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,2861360;3,208807;51.2861360001666;3.20880699986165;06/07/2016
Terminal;C.ro Ports (Brittanniadok) ligplaats 609;-99,9;;Zeebrugge;Hermespier;51,3397050;3,214491;51.3397050003982;3.21449100044067;06/07/2016
Ligplaats met overslag;Ligplaats 442W;-99,9;442W;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3220950;3,201154;51.322094999568;3.20115399896975;06/07/2016
Seinlichten - Doorgang brug;Seinlichten Herdersbrug ZO;-99,9;;Dudzele;Kanaal Brugge-Zeebrugge;51,2698510;3,213168;51.2698510001503;3.2131679993659;06/07/2016
Terminal;Minne Port Services (M.P.S.);-99,9;;Brugge;Klein Handelsdok;51,2275210;3,225094;51.2275209997662;3.22509399952739;06/07/2016
Ligplaats met overslag;Ligplaats 947;-99,9;947;Brugge;Kanaal Brugge-Zeebrugge;51,2329870;3,220359;51.2329870004516;3.22035899889914;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 3.1;3,1;;Zeebrugge;Verbindingsdok;51,3306870;3,219989;51.3306869995768;3.21998900079291;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 75;7,5;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,2887980;3,208120;51.2887980004082;3.20812000056802;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 0.5;0,5;;Zeebrugge;Zuidelijk Insteekdok;51,2977020;3,237282;51.2977020005727;3.23728199993315;06/07/2016
Km-punt op as waterweg;Brittaniadok km 0.1;0,1;;Zeebrugge;Brittaniadok;51,3441560;3,222226;51.3441560005442;3.22222599956764;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 15.8;15,8;;Zeebrugge;Visartsluis - CDNB;51,3590810;3,196876;51.35908099938;3.1968759987448;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 67;6,8;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,2816990;3,209940;51.2816990002425;3.20993999965061;06/07/2016
Ligplaats zonder overslag;Ligplaats 306;-99,9;306;Zeebrugge;Prins Filipsdok;51,3201330;3,192983;51.3201330007115;3.19298300120034;06/07/2016
Km-punt op as waterweg;Noordelijk Insteekdok km 0;0,0;;Zeebrugge;Noordelijk Insteekdok;51,3249360;3,211028;51.324935999807;3.21102799950027;06/07/2016
