STRAATnummer;STRAATNAAM;huisnr;suffix;busnr;POSTCODE;GEMEENTEAFDELING;SECTOR;dat_beslissing;Aantal_verblijven;in_uitbating;StraatHuisNummer;latWGS84;loWGS84;Aangemaakt op
7138;Wittemolenstraat;29;;;8200;Sint-Michiels;W;20160301000000.000;24;ja;Wittemolenstraat 29;51.1848719401991;3.20603639020094;20/11/2017
87;Gentpoortstraat;54;;;8000;Brugge-Centrum;C;19971211000000.000;4;ja;Gentpoortstraat 54;51.2033223202479;3.23336121128135;20/11/2017
329;Spiegelrei;6;;;8000;Brugge-Centrum;C;19980217000000.000;5;ja;Spiegelrei 6;51.2121307514806;3.22710259475323;20/11/2017
349;Van Voldenstraat;14;;;8000;Brugge-Centrum;C;20050804000000.000;4;ja;Van Voldenstraat 14;51.2021311615221;3.21493839534251;20/11/2017
7143;Ter Zwanekerke;7;;;8200;Sint-Michiels;W;20150304000000.000;13;ja;Ter Zwanekerke 7;51.1894480331552;3.21298174632736;20/11/2017
159;Kegelschoolstraat;13;;;8000;Brugge-Centrum;C;19991206000000.000;5;ja;Kegelschoolstraat 13;51.2048424611168;3.21525137697404;20/11/2017
86;Genthof;10;;;8000;Brugge-Centrum;C;19971205000000.000;3;ja;Genthof 10;51.2122558995707;3.22662167115664;20/11/2017
3325;Koolkerkse Steenweg;84;;;8000;Sint-Jozef;N;20060327000000.000;3;neen;Koolkerkse Steenweg 84;51.2240691491034;3.23529414551713;20/11/2017
118;Hendrik Consciencelaan;23;;;8000;Brugge-Centrum;C;20160523000000.000;7;ja;Hendrik Consciencelaan 23;51.202101754054;3.21477495044078;20/11/2017
7138;Wittemolenstraat;29;;;8200;Sint-Michiels;W;20160301000000.000;40;ja;Wittemolenstraat 29;51.1848719401991;3.20603639020094;20/11/2017
315;Sint-Jorisstraat;38;;;8000;Brugge-Centrum;C;20160928000000.000;13;ja;Sint-Jorisstraat 38;51.2139230434843;3.22190539820101;20/11/2017
7060;Koningin Astridlaan;96;;;8200;Sint-Michiels;W;20170415000000.000;11;ja;Koningin Astridlaan 96;51.188891267459;3.2031332365527;20/11/2017
5089;Singel;2;;;8200;Sint-Andries;W;20020304000000.000;5;ja;Singel 2;51.2029076843006;3.21210055570489;20/11/2017
73;Ezelstraat;10;;;8000;Brugge-Centrum;C;20160907000000.000;16;ja;Ezelstraat 10;51.2118778124569;3.22036711077454;20/11/2017
