SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;23/4/2012;Zwa 30-40;16:0;17:0;7;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;17:0;18:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;18:0;19:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;19:0;20:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;7:0;8:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;8:0;9:0;28;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;9:0;10:0;4;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;10:0;11:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;11:0;12:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;14:0;15:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;15:0;16:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa <=30kmu ;16:0;17:0;1;;;08/07/2016
RUZ01;23/4/2012;V85;0:0;1:0;52;;;08/07/2016
RUZ01;23/4/2012;V85;1:0;2:0;53;;;08/07/2016
RUZ01;23/4/2012;V85;2:0;3:0;54;;;08/07/2016
RUZ01;23/4/2012;V85;3:0;4:0;55;;;08/07/2016
RUZ01;23/4/2012;V85;4:0;5:0;56;;;08/07/2016
RUZ01;23/4/2012;V85;5:0;6:0;52;;;08/07/2016
RUZ01;23/4/2012;V85;6:0;7:0;49;;;08/07/2016
RUZ01;23/4/2012;V85;7:0;8:0;43;;;08/07/2016
RUZ01;23/4/2012;V85;8:0;9:0;34;;;08/07/2016
RUZ01;23/4/2012;V85;9:0;10:0;41;;;08/07/2016
RUZ01;23/4/2012;V85;10:0;11:0;43;;;08/07/2016
RUZ01;23/4/2012;V85;11:0;12:0;44;;;08/07/2016
RUZ01;23/4/2012;V85;12:0;13:0;46;;;08/07/2016
RUZ01;23/4/2012;V85;13:0;14:0;44;;;08/07/2016
RUZ01;23/4/2012;V85;14:0;15:0;45;;;08/07/2016
RUZ01;23/4/2012;V85;15:0;16:0;44;;;08/07/2016
RUZ01;23/4/2012;V85;16:0;17:0;45;;;08/07/2016
RUZ01;23/4/2012;V85;17:0;18:0;46;;;08/07/2016
RUZ01;23/4/2012;V85;18:0;19:0;44;;;08/07/2016
RUZ01;23/4/2012;V85;19:0;20:0;46;;;08/07/2016
RUZ01;23/4/2012;V85;20:0;21:0;47;;;08/07/2016
RUZ01;23/4/2012;V85;21:0;22:0;48;;;08/07/2016
RUZ01;23/4/2012;V85;22:0;23:0;49;;;08/07/2016
RUZ01;23/4/2012;V85;23:0;0:0;50;;;08/07/2016
RUZ01;23/4/2012;V50;0:0;1:0;49;;;08/07/2016
RUZ01;23/4/2012;V50;1:0;2:0;45;;;08/07/2016
RUZ01;23/4/2012;V50;2:0;3:0;45;;;08/07/2016
RUZ01;23/4/2012;V50;3:0;4:0;49;;;08/07/2016
RUZ01;23/4/2012;V50;4:0;5:0;49;;;08/07/2016
RUZ01;23/4/2012;V50;5:0;6:0;45;;;08/07/2016
RUZ01;23/4/2012;V50;6:0;7:0;43;;;08/07/2016
RUZ01;23/4/2012;V50;7:0;8:0;38;;;08/07/2016
RUZ01;23/4/2012;V50;8:0;9:0;22;;;08/07/2016
RUZ01;23/4/2012;V50;9:0;10:0;36;;;08/07/2016
RUZ01;23/4/2012;V50;10:0;11:0;39;;;08/07/2016
RUZ01;23/4/2012;V50;11:0;12:0;41;;;08/07/2016
RUZ01;23/4/2012;V50;12:0;13:0;42;;;08/07/2016
RUZ01;23/4/2012;V50;13:0;14:0;39;;;08/07/2016
RUZ01;23/4/2012;V50;14:0;15:0;40;;;08/07/2016
RUZ01;23/4/2012;V50;15:0;16:0;40;;;08/07/2016
RUZ01;23/4/2012;V50;16:0;17:0;40;;;08/07/2016
RUZ01;23/4/2012;V50;17:0;18:0;39;;;08/07/2016
RUZ01;23/4/2012;V50;18:0;19:0;39;;;08/07/2016
RUZ01;23/4/2012;V50;19:0;20:0;42;;;08/07/2016
RUZ01;23/4/2012;V50;20:0;21:0;43;;;08/07/2016
RUZ01;23/4/2012;V50;21:0;22:0;44;;;08/07/2016
RUZ01;23/4/2012;V50;22:0;23:0;46;;;08/07/2016
RUZ01;23/4/2012;V50;23:0;0:0;49;;;08/07/2016
RUZ01;24/4/2012;A;0:0;1:0;47;;;08/07/2016
RUZ01;24/4/2012;A;1:0;2:0;14;;;08/07/2016
RUZ01;24/4/2012;A;2:0;3:0;14;;;08/07/2016
RUZ01;24/4/2012;A;3:0;4:0;19;;;08/07/2016
RUZ01;24/4/2012;A;4:0;5:0;33;;;08/07/2016
RUZ01;24/4/2012;A;5:0;6:0;108;;;08/07/2016
RUZ01;24/4/2012;A;6:0;7:0;292;;;08/07/2016
RUZ01;24/4/2012;A;7:0;8:0;863;;;08/07/2016
RUZ01;24/4/2012;A;8:0;9:0;879;;;08/07/2016
RUZ01;24/4/2012;A;9:0;10:0;747;;;08/07/2016
RUZ01;24/4/2012;A;10:0;11:0;599;;;08/07/2016
RUZ01;24/4/2012;A;11:0;12:0;635;;;08/07/2016
RUZ01;24/4/2012;A;12:0;13:0;600;;;08/07/2016
RUZ01;24/4/2012;A;13:0;14:0;702;;;08/07/2016
RUZ01;24/4/2012;A;14:0;15:0;642;;;08/07/2016
RUZ01;24/4/2012;A;15:0;16:0;620;;;08/07/2016
RUZ01;24/4/2012;A;16:0;17:0;678;;;08/07/2016
RUZ01;24/4/2012;A;17:0;18:0;750;;;08/07/2016
RUZ01;24/4/2012;A;18:0;19:0;792;;;08/07/2016
RUZ01;24/4/2012;A;19:0;20:0;551;;;08/07/2016
RUZ01;24/4/2012;A;20:0;21:0;329;;;08/07/2016
RUZ01;24/4/2012;A;21:0;22:0;231;;;08/07/2016
RUZ01;24/4/2012;A;22:0;23:0;205;;;08/07/2016
RUZ01;24/4/2012;A;23:0;0:0;96;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;0:0;1:0;1;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;1:0;2:0;1;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;2:0;3:0;2;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;3:0;4:0;2;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;4:0;5:0;7;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;5:0;6:0;6;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;6:0;7:0;2;;;08/07/2016
RUZ01;24/4/2012;Lic >60kmu;8:0;9:0;1;;;08/07/2016
